hidden_size,seed,best_epoch,test_accuracy,parameter_count,macs,training_seconds,checkpoint_path,epochs_requested,batch_size,learning_rate,patience,device
4,42,22,87.03,3190,3176,80.023242,checkpoints/mlp_h4_seed42.pt,60,128,0.001,5,auto
4,43,28,87.10,3190,3176,97.476803,checkpoints/mlp_h4_seed43.pt,60,128,0.001,5,auto
4,44,41,80.03,3190,3176,135.605496,checkpoints/mlp_h4_seed44.pt,60,128,0.001,5,auto
8,42,24,92.62,6370,6352,84.854268,checkpoints/mlp_h8_seed42.pt,30,128,0.001,5,auto
8,43,28,92.57,6370,6352,87.924766,checkpoints/mlp_h8_seed43.pt,30,128,0.001,5,auto
8,44,11,92.68,6370,6352,47.202599,checkpoints/mlp_h8_seed44.pt,30,128,0.001,5,auto
16,42,15,95.46,12730,12704,58.923096,checkpoints/mlp_h16_seed42.pt,30,128,0.001,5,auto
16,43,23,94.89,12730,12704,82.784862,checkpoints/mlp_h16_seed43.pt,30,128,0.001,5,auto
16,44,24,95.11,12730,12704,84.105905,checkpoints/mlp_h16_seed44.pt,30,128,0.001,5,auto
32,42,16,96.88,25450,25408,63.121519,checkpoints/mlp_h32_seed42.pt,30,128,0.001,5,auto
32,43,15,97.03,25450,25408,59.862987,checkpoints/mlp_h32_seed43.pt,30,128,0.001,5,auto
32,44,13,96.94,25450,25408,53.229775,checkpoints/mlp_h32_seed44.pt,30,128,0.001,5,auto
64,42,9,97.47,50890,50816,39.504148,checkpoints/mlp_h64_seed42.pt,30,128,0.001,5,auto
64,43,11,97.39,50890,50816,45.601493,checkpoints/mlp_h64_seed43.pt,30,128,0.001,5,auto
64,44,11,97.29,50890,50816,45.235133,checkpoints/mlp_h64_seed44.pt,30,128,0.001,5,auto
128,42,9,97.77,101770,101632,40.098368,checkpoints/mlp_h128_seed42.pt,30,128,0.001,5,auto
128,43,11,97.91,101770,101632,46.104145,checkpoints/mlp_h128_seed43.pt,30,128,0.001,5,auto
128,44,8,97.68,101770,101632,37.103324,checkpoints/mlp_h128_seed44.pt,30,128,0.001,5,auto
256,42,9,98.07,203530,203264,42.595450,checkpoints/mlp_h256_seed42.pt,30,128,0.001,5,auto
256,43,7,97.88,203530,203264,36.422137,checkpoints/mlp_h256_seed43.pt,30,128,0.001,5,auto
256,44,7,97.70,203530,203264,36.607283,checkpoints/mlp_h256_seed44.pt,30,128,0.001,5,auto
